date,state,city,dead,confirmed,day
2020-04-06,RJ,Rio das Ostras/RJ,1,3,32
2020-04-06,RJ,Rio de Janeiro/RJ,47,1110,32
2020-04-06,RJ,Seropédica/RJ,0,1,32
2020-04-06,RJ,São Gonçalo/RJ,1,13,32
2020-04-06,RJ,São João da Barra/RJ,0,1,32
2020-04-06,RJ,São João de Meriti/RJ,1,10,32
2020-04-06,RJ,São Pedro da Aldeia/RJ,0,2,32
2020-04-06,RJ,Tanguá/RJ,0,1,32
2020-04-06,RJ,Teresópolis/RJ,0,7,32
2020-04-06,RJ,Trajano de Moraes/RJ,0,0,32
2020-04-06,RJ,Três Rios/RJ,0,1,32
2020-04-06,RJ,Valença/RJ,0,2,32
2020-04-06,RJ,Volta Redonda/RJ,2,55,32
2020-04-07,RJ,Angra dos Reis/RJ,0,4,33
2020-04-07,RJ,Araruama/RJ,0,1,33
2020-04-07,RJ,Arraial do Cabo/RJ,1,1,33
2020-04-07,RJ,Barra Mansa/RJ,0,8,33
2020-04-07,RJ,Barra do Piraí/RJ,0,3,33
2020-04-07,RJ,Belford Roxo/RJ,3,19,33
2020-04-07,RJ,Bom Jardim/RJ,0,1,33
2020-04-07,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,1,33
2020-04-07,RJ,Cabo Frio/RJ,0,1,33
2020-04-07,RJ,Campos dos Goytacazes/RJ,0,3,33
2020-04-07,RJ,Casimiro de Abreu/RJ,0,3,33
2020-04-07,RJ,Duque de Caxias/RJ,5,33,33
2020-04-07,RJ,Guapimirim/RJ,0,3,33
2020-04-07,RJ,Iguaba Grande/RJ,2,3,33
2020-04-07,RJ,Itaboraí/RJ,2,15,33
2020-04-07,RJ,Itaguaí/RJ,0,3,33
2020-04-07,RJ,Itaperuna/RJ,0,2,33
2020-04-07,RJ,Japeri/RJ,0,1,33
2020-04-07,RJ,Macaé/RJ,0,6,33
2020-04-07,RJ,Magé/RJ,0,7,33
2020-04-07,RJ,Mangaratiba/RJ,0,2,33
2020-04-07,RJ,Maricá/RJ,1,9,33
2020-04-07,RJ,Mesquita/RJ,1,7,33
2020-04-07,RJ,Miguel Pereira/RJ,1,1,33
2020-04-07,RJ,Nilópolis/RJ,0,9,33
2020-04-07,RJ,Niterói/RJ,2,94,33
2020-04-07,RJ,Nova Friburgo/RJ,0,7,33
2020-04-07,RJ,Nova Iguaçu/RJ,2,38,33
2020-04-07,RJ,Paraíba do Sul/RJ,0,3,33
2020-04-07,RJ,Petrópolis/RJ,1,20,33
